Sr No,Product Name,,BoM,Material,Surface Finish,Surface Area(mm2),Thickness(mm),Unit Weight(kg),Total Weight(kg),UoM,Quantity
46,SC09-03-60-002,CAR SIDE STICKER,SC09-03-60-000SA_R6] DoseCar,0,STANDARD,4020.88,1,0,0,Unit,40
47,CS04-27-005SM,CSR LED TOP COVER,CS04-27-000SA_R1] CSR V4 JUNCTION BOX,AISI 1020,POWDER COATING,1355256.48,1,5.31,21.24,Unit,4
48,CS04-22-013SM_R1,TOP/BOTTOM COVER_W,"CS04-22-000SA_R2] CSR V4 SMALL DRAWER CAGE WELDING, CS04-25-000SA_R2] CSR V4 SMALL DRAWER CAGE WELDING",AISI 1020,POWDER COATING,600880.98,1,2.33,55.92,Unit,24
49,CS04-22-014SM_R1,TOP/BOTT. COVER STIFF.-1_W,"CS04-22-000SA_R2] CSR V4 SMALL DRAWER CAGE WELDING, CS04-25-000SA_R2] CSR V4 SMALL DRAWER CAGE WELDING",AISI 1020,POWDER COATING,90039.61,1,0.35,8.4,Unit,24
50,CS04-22-015SM,TOP/BOTT. COVER STIFF.-2_W,"CS04-22-000SA_R2] CSR V4 SMALL DRAWER CAGE WELDING, CS04-25-000SA_R2] CSR V4 SMALL DRAWER CAGE WELDING",AISI 1020,POWDER COATING,107790.88,1,0.42,10.08,Unit,24
51,CS04-22-016SM_R1,SIDE COVER_W,CS04-22-000SA_R2] CSR V4 SMALL DRAWER CAGE WELDING,AISI 1020,POWDER COATING,681263.76,1,2.65,21.2,Unit,8
52,CS04-22-019SM,SIDE COVER_W,CS04-22-000SA_R2] CSR V4 SMALL DRAWER CAGE WELDING,AISI 1020,POWDER COATING,681263.76,1,2.65,21.2,Unit,8
53,CS04-22-017SM_R1,SIDE COVER STIFFNER-1_W,CS04-22-000SA_R2] CSR V4 SMALL DRAWER CAGE WELDING,AISI 1020,POWDER COATING,65923.73,1,0.26,4.16,Unit,16
54,CS04-22-018SM,SIDE COVER STIFFNER-2_W,"CS04-22-000SA_R2] CSR V4 SMALL DRAWER CAGE WELDING, CS04-25-000SA_R2] CSR V4 SMALL DRAWER CAGE WELDING",AISI 1020,POWDER COATING,107031.59,1,0.42,20.16,Unit,48
55,CS04-22-021SM_R1,CENTER SUPPORT-2,CS04-22-000SA_R2] CSR V4 SMALL DRAWER CAGE WELDING,AISI 1020,POWDER COATING,59814.53,1,0.23,1.84,Unit,8
56,CS04-22-023SM,CENTER HORI. SUPP.-1_W,"CS04-22-000SA_R2] CSR V4 SMALL DRAWER CAGE WELDING, CS04-25-000SA_R2] CSR V4 SMALL DRAWER CAGE WELDING",AISI 1020,POWDER COATING,18730.63,1,0.07,3.36,Unit,48
57,CS04-22-026SM,CENTER HORI. SUPP.-1_W,"CS04-22-000SA_R2] CSR V4 SMALL DRAWER CAGE WELDING, CS04-25-000SA_R2] CSR V4 SMALL DRAWER CAGE WELDING",AISI 1020,POWDER COATING,18765.75,1,0.07,1.68,Unit,24
58,CS04-22-030SM_R1,CENTER SUPPORT_B,CS04-22-000SA_R2] CSR V4 SMALL DRAWER CAGE WELDING,AISI 1020,POWDER COATING,53810.94,1,0.21,3.36,Unit,16
59,CS04-22-031SM,CENTER RAIL MTG. SUPP._W,"CS04-22-000SA_R2] CSR V4 SMALL DRAWER CAGE WELDING, CS04-25-000SA_R2] CSR V4 SMALL DRAWER CAGE WELDING",AISI 1020,POWDER COATING,128809.35,1,0.5,24,Unit,48
60,CS04-23-014SM,TOP FRONT PANEL,CS04-23-000SA_R2] CSR V4 SMALL CANISTER (4 DRAWERS),AISI 1020,POWDER COATING,189671.84,1,0.75,12,Unit,16
61,CS04-23-016SM,TOP FRONT PANEL,CS04-23-000SA_R2] CSR V4 SMALL CANISTER (4 DRAWERS),AISI 1020,POWDER COATING,189159.32,1,0.74,11.84,Unit,16
62,CS04-23-023SM_R2,CSR BACK COVER 1,CS04-23-000SA_R2] CSR V4 SMALL CANISTER (4 DRAWERS),AISI 1020,BLUE POWDER COAT,374584.47,1,1.47,11.76,Unit,8
